Method,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total cost,Total successful delivery,Avg. cost per successful delivery
CSA,150,75,30,5,8.99958610534668,265.81710000000004,150,1.7721140000000002
NDF,150,75,30,5,130.00035285949707,380.97449999999986,149,2.5568758389261736
EDF,150,75,30,5,128.00002098083496,539.6444,150,3.5976293333333333
CSA,150,100,30,5,10.000944137573242,265.1862,150,1.7679079999999998
NDF,150,100,30,5,171.94676399230957,404.2564,150,2.6950426666666667
EDF,150,100,30,5,170.99952697753906,553.2460000000001,150,3.6883066666666675
CSA,150,5,15,10,7.998943328857422,393.2748,149,2.639428187919463
NDF,150,5,15,10,10.96343994140625,472.2473999999999,150,3.1483159999999994
EDF,150,5,15,10,10.999679565429688,622.4900000000002,149,4.17778523489933
CSA,150,25,15,10,7.999420166015625,301.5703,150,2.0104686666666667
NDF,150,25,15,10,44.9824333190918,431.9302,150,2.879534666666667
EDF,150,25,15,10,43.96462440490723,578.0323,150,3.8535486666666663
CSA,150,50,15,10,7.999897003173828,317.01969999999994,150,2.1134646666666663
NDF,150,50,15,10,85.98041534423828,393.0264999999998,149,2.6377617449664417
EDF,150,50,15,10,85.9994888305664,555.9975,150,3.70665
CSA,150,75,15,10,7.998943328857422,293.5506,150,1.9570039999999997
NDF,150,75,15,10,128.00335884094238,396.74309999999997,149,2.6627053691275164
EDF,150,75,15,10,147.94468879699707,571.3389,150,3.8089259999999996
CSA,150,100,15,10,8.999347686767578,272.77199999999993,150,1.8184799999999997
NDF,150,100,15,10,182.9967498779297,399.31599999999986,150,2.662106666666666
EDF,150,100,15,10,178.00235748291016,549.2303000000002,150,3.6615353333333345
CSA,150,5,10,15,7.990598678588867,347.45580000000007,148,2.3476743243243248
NDF,150,5,10,15,12.038707733154297,454.7372,149,3.051927516778523
EDF,150,5,10,15,10.997533798217773,626.1039000000003,149,4.202039597315438
CSA,150,25,10,15,8.947372436523438,355.60249999999996,149,2.3865939597315435
NDF,150,25,10,15,44.04091835021973,457.9529999999998,150,3.0530199999999987
EDF,150,25,10,15,43.99538040161133,624.0802,150,4.160534666666667
